grade,loan_status,loan_status
1,1,39679 
1,0,3290 
2,1,66545 
2,0,12131 
3,1,52678 
3,0,17019 
4,1,30019 
4,0,14257 
5,1,12928 
5,0,8679 
6,1,4726 
6,0,3936 
7,1,1146 
7,0,1103 
sub_grade,loan_status,loan_status
11,1,5689 
11,0,227 
12,1,5925 
12,0,364 
13,1,6774 
13,0,498 
14,1,10279 
14,0,932 
15,1,11012 
15,0,1269 
21,1,10883 
21,0,1539 
22,1,13035 
22,0,2044 
23,1,15809 
23,0,2768 
24,1,14610 
24,0,3013 
25,1,12208 
25,0,2767 
31,1,12476 
31,0,3282 
32,1,11810 
32,0,3386 
33,1,10227 
33,0,3442 
34,1,9492 
34,0,3510 
35,1,8673 
35,0,3399 
41,1,7678 
41,0,3247 
42,1,6781 
42,0,3065 
43,1,5950 
43,0,2701 
44,1,5299 
44,0,2844 
45,1,4311 
45,0,2400 
51,1,3332 
51,0,1986 
52,1,3055 
52,0,2047 
53,1,2558 
53,0,1711 
54,1,2184 
54,0,1550 
55,1,1799 
55,0,1385 
61,1,1460 
61,0,1084 
62,1,1114 
62,0,872 
63,1,919 
63,0,808 
64,1,696 
64,0,639 
65,1,537 
65,0,533 
71,1,397 
71,0,394 
72,1,297 
72,0,279 
73,0,200 
73,1,190 
74,1,158 
74,0,106 
75,0,124 
75,1,104 
emp_title,loan_status,loan_status
0,1,10494 
0,0,4471 
1,1,197227 
1,0,55944 
emp_length,loan_status,loan_status
0,1,17033 
0,0,5181 
1,1,13892 
1,0,3984 
2,1,19528 
2,0,5384 
3,1,16846 
3,0,4761 
4,1,13422 
4,0,3668 
5,1,14856 
5,0,4122 
6,1,12058 
6,0,3474 
7,1,11483 
7,0,3381 
8,1,9695 
8,0,2890 
9,1,7789 
9,0,2392 
10,1,63747 
10,0,17721 
11,1,7372 
11,0,3457 
home_ownership,loan_status,loan_status
1,1,1 
2,1,104965 
2,0,26496 
3,1,36 
3,0,7 
4,1,114 
4,0,27 
5,1,17959 
5,0,5607 
6,1,84646 
6,0,28278 
verification_status,loan_status,loan_status
0,1,73856 
0,0,15480 
1,1,133865 
1,0,44935 
issue_d,loan_status,loan_status
1,1,18445 
1,0,5317 
2,1,14696 
2,0,4508 
3,1,15754 
3,0,4647 
4,1,17455 
4,0,5405 
5,1,16907 
5,0,5346 
6,1,16138 
6,0,4991 
7,1,20212 
7,0,6290 
8,1,17607 
8,0,4863 
9,1,15747 
9,0,4125 
10,1,21371 
10,0,6242 
11,1,18085 
11,0,4957 
12,1,15304 
12,0,3724 
pymnt_plan,loan_status,loan_status
0,1,207719 
0,0,60410 
1,0,5 
1,1,2 
purpose,loan_status,loan_status
1,1,3198 
1,0,543 
2,1,42249 
2,0,10536 
3,1,120763 
3,0,37318 
4,1,269 
4,0,56 
5,1,12660 
5,0,3115 
6,1,1366 
6,0,369 
7,1,5391 
7,0,1146 
8,1,2285 
8,0,726 
9,1,1603 
9,0,549 
10,1,11341 
10,0,3732 
11,1,213 
11,0,63 
12,1,3375 
12,0,1630 
13,1,1318 
13,0,359 
14,1,1690 
14,0,273 
initial_list_status,loan_status,loan_status
0,1,149144 
0,0,41104 
1,1,58577 
1,0,19311 
application_type,loan_status,loan_status
0,0,2 
0,1,1 
1,1,207720 
1,0,60413 
