,loan_amnt,term,int_rate,installment,annual_inc,desc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,acc_now_delinq
loan_amnt,1,0.41,0.22,0.95,0.34,-0.02,0.05,0.01,0.01,0.2,-0.07,0.33,0.1,0.23,0.01
term,0.41,1,0.45,0.17,0.07,-0.02,0.08,0.01,0.04,0.08,-0.01,0.09,0.06,0.1,0.01
int_rate,0.22,0.45,1,0.21,-0.03,-0.09,0.18,0.09,0.21,0.04,0.08,0.02,0.33,-0.01,0.03
installment,0.95,0.17,0.21,1,0.33,-0.03,0.05,0.02,0.03,0.2,-0.06,0.32,0.13,0.21,0.02
annual_inc,0.34,0.07,-0.03,0.33,1,-0.01,-0.17,0.05,0.06,0.14,-0.02,0.3,0.02,0.21,0.02
desc,-0.02,-0.02,-0.09,-0.03,-0.01,1,-0.08,-0.04,0,-0.07,-0.07,-0.01,-0.02,-0.06,-0.02
dti,0.05,0.08,0.18,0.05,-0.17,-0.08,1,0,0,0.31,-0.03,0.15,0.22,0.23,0.01
delinq_2yrs,0.01,0.01,0.09,0.02,0.05,-0.04,0,1,0.02,0.06,0,-0.03,-0.02,0.13,0.12
inq_last_6mths,0.01,0.04,0.21,0.03,0.06,0,0,0.02,1,0.12,0.05,-0.01,-0.09,0.14,0
open_acc,0.2,0.08,0.04,0.2,0.14,-0.07,0.31,0.06,0.12,1,-0.01,0.23,-0.11,0.67,0.02
pub_rec,-0.07,-0.01,0.08,-0.06,-0.02,-0.07,-0.03,0,0.05,-0.01,1,-0.1,-0.07,0.03,0.01
revol_bal,0.33,0.09,0.02,0.32,0.3,-0.01,0.15,-0.03,-0.01,0.23,-0.1,1,0.23,0.2,0
revol_util,0.1,0.06,0.33,0.13,0.02,-0.02,0.22,-0.02,-0.09,-0.11,-0.07,0.23,1,-0.09,-0.02
total_acc,0.23,0.1,-0.01,0.21,0.21,-0.06,0.23,0.13,0.14,0.67,0.03,0.2,-0.09,1,0.03
acc_now_delinq,0.01,0.01,0.03,0.02,0.02,-0.02,0.01,0.12,0,0.02,0.01,0,-0.02,0.03,1
